map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023,new_number_of_square,old_number_of_square,diff_number_of_square
504,Phylloscopus bonelli,avibase-C00674ED,Phylloscopus bonelli,Western Bonelli's Warbler,24373,21,17,4
402,Psalidoprocne obscura,avibase-8CA8B659,Psalidoprocne obscura,Fanti Sawwing,23606,9,5,4
609,Estrilda melpoda,avibase-1E79A7D7,Estrilda melpoda,Orange-cheeked Waxbill,30774,15,11,4
461,Myrmecocichla aethiops,avibase-E09F7223,Myrmecocichla aethiops,Northern Anteater-Chat,29265,21,17,4
107,Butastur rufipennis,avibase-45A1D850,Butastur rufipennis,Grasshopper Buzzard,7929,24,20,4
558,Cinnyris coccinigastrus,avibase-48EC6C78,Cinnyris coccinigastrus,Splendid Sunbird,29908,11,8,3
325,Telacanthura ussheri,avibase-8ACC245F,Telacanthura ussheri,Mottled Spinetail,3846,15,12,3
51,Mycteria ibis,avibase-4F92C892,Mycteria ibis,Yellow-billed Stork,7140,16,13,3
198,Actitis hypoleucos,avibase-8548B07E,Actitis hypoleucos,Common Sandpiper,6090,22,19,3
215,Phalaropus fulicarius,avibase-18A19380,Phalaropus fulicarius,Red Phalarope,6085,6,3,3
555,Cinnyris venustus,avibase-8E9E45B5,Cinnyris venustus,Variable Sunbird,29921,15,12,3
148,Porzana pusilla,avibase-34D5B04D,Zapornia pusilla,Baillon's Crake,5562,4,1,3
193,Tringa stagnatilis,avibase-15CF9352,Tringa stagnatilis,Marsh Sandpiper,6100,15,12,3
431,Lamprotornis chalybaeus,avibase-7DDB347E,Lamprotornis chalybaeus,Greater Blue-eared Starling,27518,24,21,3
249,Thalasseus sandvicensis,avibase-F7504353,Thalasseus sandvicensis,Sandwich Tern,6713,11,8,3
235,Chroicocephalus genei,avibase-27CE7132,Chroicocephalus genei,Slender-billed Gull,6421,10,7,3
238,Chroicocephalus cirrocephalus,avibase-6EB497FA,Chroicocephalus cirrocephalus,Gray-hooded Gull,6440,12,9,3
229,Ichthyaetus audouinii,avibase-F7B9355E,Ichthyaetus audouinii,Audouin's Gull,6458,7,4,3
232,Ichthyaetus melanocephalus,avibase-052BFA8A,Ichthyaetus melanocephalus,Mediterranean Gull,6459,5,2,3
257,Sternula albifrons,avibase-17310BF0,Sternula albifrons,Little Tern,6622,10,7,3
498,Sylvia communis,avibase-14AFBA82,Curruca communis,Greater Whitethroat,24937,18,15,3
23,Anhinga rufa,avibase-5C7936A7,Anhinga rufa,African Darter,7198,18,15,3
20,Sula leucogaster,avibase-5EC21767,Sula leucogaster,Brown Booby,7172,3,0,3
354,Lophoceros semifasciatus,avibase-89218876,Lophoceros semifasciatus,West African Pied Hornbill,9450,9,6,3
391,Hirundo smithii,avibase-B79D6B3D,Hirundo smithii,Wire-tailed Swallow,23793,13,10,3
396,Cecropis daurica,avibase-F72A871F,Cecropis daurica,Red-rumped Swallow,23814,19,16,3
141,Pternistis ahantensis,avibase-CA53B18D,Pternistis ahantensis,Ahanta Spurfowl,1752,5,2,3
491,Acrocephalus rufescens,avibase-C8857CC8,Acrocephalus rufescens,Greater Swamp Warbler,23286,6,3,3
307,Asio flammeus,avibase-8F123A11,Asio flammeus,Short-eared Owl,9068,6,3,3
326,Urocolius macrourus,avibase-E45D9EB2,Urocolius macrourus,Blue-naped Mousebird,9220,16,13,3
