map_index,match_map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023
68,,Mareca strepera,avibase-C235A4D7,Mareca strepera,Gadwall,478
69,,Anas crecca,avibase-BC6C3CCE,Anas crecca,Green-winged Teal,574
70,,Anas platyrhynchos,avibase-85625D75,Anas platyrhynchos,Mallard,515
71,,Anas acuta,avibase-56CCA717,Anas acuta,Northern Pintail,558
72,,Spatula querquedula,avibase-F577BA0F,Spatula querquedula,Garganey,454
73,,Spatula clypeata,avibase-ED4CE8E7,Spatula clypeata,Northern Shoveler,474
74,,Marmaronetta angustirostris,avibase-6362936E,Marmaronetta angustirostris,Marbled Duck,618
75,,Mareca americana,avibase-D201EB72,Mareca americana,American Wigeon,487
76,,Spatula discors,avibase-90E2543E,Spatula discors,Blue-winged Teal,460
77,,Aythya ferina,avibase-A96692E0,Aythya ferina,Common Pochard,631
78,,Aythya nyroca,avibase-7CF91527,Aythya nyroca,Ferruginous Duck,638
79,,Aythya fuligula,avibase-67CEA1C1,Aythya fuligula,Tufted Duck,648
80,,Thalassornis leuconotus,avibase-2EEDACD5,Thalassornis leuconotus,White-backed Duck,251
81,,Torgos tracheliotus,avibase-672EA454,Torgos tracheliotos,Lappet-faced Vulture,7739
82,,Trigonoceps occipitalis,avibase-93D7EC56,Trigonoceps occipitalis,White-headed Vulture,7737
83,,Gyps fulvus,avibase-5D1987CE,Gyps fulvus,Eurasian Griffon,7753
84,,Gyps rueppellii,avibase-76B512B1,Gyps rueppelli,R�ppell's Griffon,7748
85,,Gyps africanus,avibase-0419DDC2,Gyps africanus,White-backed Vulture,7744
86,,Neophron percnopterus,avibase-6D3480A6,Neophron percnopterus,Egyptian Vulture,7671
87,,Necrosyrtes monachus,avibase-131038AD,Necrosyrtes monachus,Hooded Vulture,7743
88,,Gypohierax angolensis,avibase-14885C18,Gypohierax angolensis,Palm-nut Vulture,7666
89,,Circus macrourus,avibase-22647E26,Circus macrourus,Pallid Harrier,7952
90,,Circus pygargus,avibase-63B6412E,Circus pygargus,Montagu's Harrier,7955
91,,Circus aeruginosus,avibase-E2A19474,Circus aeruginosus,Western Marsh Harrier,7933
92,,Polyboroides typus,avibase-C505EA72,Polyboroides typus,African Harrier-Hawk,7662
93,,Terathopius ecaudatus,avibase-6CBD8724,Terathopius ecaudatus,Bateleur,7796
