TAXON CONCEPT ID,SCIENTIFIC NAME,count,map_index,sort v2023
avibase-8372FFBA,Circaetus gallicus,855,94,7797
avibase-F4E78AFA,Circaetus beaudouini,955,95,7800
avibase-6904D83F,Circaetus cinereus,1400,96,7802
avibase-4327F813,Circaetus cinerascens,694,97,7804
avibase-819AB823,Accipiter melanoleucus,1,98,8136
avibase-35A1472C,Accipiter tachiro,186,99,7974
avibase-72E67CB3,Accipiter tachiro,27,99,7975
avibase-1A0ECB6E,Accipiter badius,3703,100,7987
avibase-277B3BB4,Accipiter badius,497,100,7988
avibase-AFD19C47,Accipiter erythropus,5,102,8062
avibase-BAE91683,Accipiter ovampensis,11,103,8097
avibase-D2AFD39B,Melierax metabates,2562,104,7900
avibase-922DE9C1,Micronisus gabar,824,105,7910
avibase-3EEB66ED,Kaupifalco monogrammicus,2404,106,7893
avibase-45A1D850,Butastur rufipennis,1661,107,7929
avibase-CC65921F,Buteo rufinus,1,108,8364
avibase-A16C3B99,Buteo auguralis,44,109,8372
avibase-3C0C325D,Buteo buteo,2,110,8341
avibase-14B9664A,Lophaetus occipitalis,927,111,7849
avibase-1E3B3515,Stephanoaetus coronatus,3,112,7813
avibase-FDA2E4A3,Polemaetus bellicosus,319,113,7836
avibase-9A418C45,Aquila spilogaster,818,114,7890
avibase-4B8CC285,Hieraaetus pennatus,387,115,7860
avibase-F6D547B2,Aquila rapax,610,116,7864
avibase-535F3C99,Hieraaetus wahlbergi,1363,117,7859
avibase-A19B0CF4,Icthyophaga vocifer,2833,118,8194
avibase-06D9A2C8,Milvus migrans,6751,119,8165
avibase-C1C255AA,Milvus migrans,912,119,8166
avibase-EE9C6A5E,Milvus migrans,8174,119,8173
avibase-ED5A7E8F,Pernis apivorus,12,120,7683
avibase-37863AE7,Elanus caeruleus,315,122,7651
avibase-97C47F3E,Elanus caeruleus,1331,122,7650
avibase-22832FF4,Chelictinia riocourii,410,123,7661
avibase-1327AC55,Pandion haliaetus,4483,125,7640
avibase-F78E8D2B,Pandion haliaetus,1,125,7642
avibase-FE572264,Pandion haliaetus,2123,125,7641
avibase-3D3808E3,Falco biarmicus,1520,126,11862
avibase-0B27798B,Falco peregrinus,6,128,11877
avibase-2723EFFC,Falco peregrinus,1,128,11890
avibase-47E58408,Falco peregrinus,261,128,11875
avibase-A113792C,Falco peregrinus,68,128,11887
avibase-E9566F8E,Falco peregrinus,306,128,11882
avibase-F56A73BF,Falco cuvierii,267,129,11840
avibase-E91E287A,Falco subbuteo,19,130,11836
avibase-529E7777,Falco chicquera,330,132,11817
avibase-6A64EFCB,Falco chicquera,1433,132,11815
avibase-3F2BA4F7,Falco ardosiaceus,3010,133,11812
avibase-997A9437,Falco vespertinus,28,134,11820
